ts	phase	decision	why	evidence	result
2026-09-20T20:44:50Z	frame	Defined GA as every required acceptance row passing with exact evidence	A file existing or a green unit suite cannot prove real Slack and provider behavior	docs/ga-acceptance.md	GA gate recorded; live rows blocked pending setup
2026-09-20T20:44:50Z	contract	Pinned T3 Code 0.0.42 at release commit 719a76ca1dbf5490f1aa33ffb9966301e02be9a9	The earlier source checkout was not the current release and the private client runtime is not a public SDK	t3.lock.json	pin ready for executable verification
2026-09-20T20:44:50Z	security	Requested designated Slack workspace channel and tester IDs without asking for secrets in chat	Live tests need explicit authority and credentials must stay out of transcripts	docs/ga-acceptance.md	workspace identified; app channel and testers still pending
2026-09-20T21:18:00Z	architecture	Chose a SQLite command log with stateless workers and per-task leases	It makes crash recovery queryable without adding an event bus or long-lived actor state	docs/architecture/initial-design.md	design settled; two external candidates dropped at platform usage limit
2026-09-20T21:18:00Z	security	Minted a T3 token restricted to orchestration read and operate scopes	The setup token has administrative authority and must never run the service	src/t3/auth.ts	real server accepted exact scopes and denied the administrative clients endpoint with HTTP 403
2026-09-20T21:18:00Z	integration	Completed an Effect RPC probe against the official T3 0.0.42 binary	The private client runtime cannot be assumed compatible without an executable handshake	t3.lock.json	real server probe and config decode succeeded; six provider entries found
2026-09-20T21:30:00Z	integration	Kept the handwritten T3 wire adapter behind parsed domain values	The upstream contracts and client runtime are private workspace packages, while the release server exposes a stable authenticated boundary	docs/evidence/2026-09-21-t3-adapter.md	live probe, exact-scope denial, provider catalog, and command replay tests passed
2026-09-20T21:44:30Z	integration	Separated tool-free provider completion from supervised command approval	A provider turn and an approval boundary are different behaviors and need independent evidence	test/t3-live.integration.test.ts	real Codex turn completed; one-shot command approvals resolved and completed a second turn
2026-09-20T21:44:30Z	security	Stopped using raw T3 runtime logs for diagnostics	Headless startup output contains a bootstrap code even though the consumed code reports authenticated false	docs/evidence/2026-09-21-t3-adapter.md	future diagnostics use parsed snapshots or whitelisted database fields; no active credential entered evidence
2026-09-20T21:44:30Z	durability	Made SQLite transactions the inbox operation lease and outbox commit boundary	Stable IDs and recoverable leases prevent Slack retries or process exits from creating blind T3 and Slack replays	docs/evidence/2026-09-21-durability.md	deduplication reopen lease expiry ordering concurrency outbox and injected rollback fixtures passed
2026-09-20T21:58:41Z	slack	Used channel and message timestamp as the canonical inbound event key	Slack retries and overlapping app mention and message subscriptions can have different delivery IDs for one human message	docs/evidence/2026-09-21-slack-ingress.md	overlap collapsed to one durable operation; authorized threaded steering preserved identity and order
2026-09-20T21:58:41Z	reliability	Quarantined expired Slack sends instead of automatically replaying them	The supported chat.postMessage surface has no documented idempotency key and Slack says some errors may follow partial success	docs/architecture/slack-boundary.md	ambiguous sends become operator-visible failures without a blind duplicate write
2026-09-20T22:04:48Z	integration	Made the coordinator a durable T3 command mapper rather than an agent runtime	T3 must remain the only execution backend while Agent Tag owns leases identity routing and Slack delivery	src/coordinator.ts	a real stored operation completed in a managed T3 worktree and atomically produced its Slack outbox reply
2026-09-21T02:48:13Z	interactions	Persisted provider requests and human responses before T3 dispatch	Slack acknowledgements process exits retries and stale clicks must not lose or duplicate an approval question or cancellation	docs/evidence/2026-09-21-interactions.md	restart fixtures passed; real T3 accept decline and interrupt controls passed
2026-09-21T03:34:00Z	operations	Ran bounded stateless workers under one foreground lifecycle	Coordinator interaction and Slack delivery need independent progress and one recoverable shutdown boundary	docs/evidence/2026-09-21-service-runtime.md	fixture lifecycle and log canary passed; real T3 operation reconciled after store and worker restart
2026-09-21T03:51:00Z	operations	Made backup restore non-destructive and audit export content-minimal	Operational recovery must not overwrite a live store or leak Slack message bodies	docs/operations.md	integrity-checked private backup restored to a new path; existing destination rejected; audit rows excluded message text
2026-09-21T04:12:00Z	providers	Required startup catalog validation plus real execution evidence	A T3 provider can report ready and authenticated while its runtime API calls still fail	docs/evidence/2026-09-21-t3-adapter.md	Codex real turn passed; Claude Opus default and Sonnet selections all failed with provider-api-errors; T3-04 marked FAIL
2026-09-21T04:39:00Z	memory	Kept memory scoped attributed expiring and explicitly untrusted in provider prompts	Team context must not cross profile task or private identity boundaries or mutate an idempotent replay	docs/evidence/2026-09-21-memory.md	four-scope access and denial fixtures passed; rendered turn text stayed immutable across retry
2026-09-21T05:08:00Z	scheduler	Derived every scheduled run identity from schedule and due time	A crash after inbox or outbox insertion must replay the same semantic run while missed and overlapping work follow explicit policy	docs/evidence/2026-09-21-scheduler.md	restart fake-clock reminder cancellation missed-run and overlap fixtures passed
2026-09-21T05:24:00Z	ambient	Made ambient participation profile opt-in and fingerprint-bounded	An unmentioned channel message must not silently spend provider work or repeatedly react to unchanged content	docs/evidence/2026-09-21-ambient.md	default-off relevance unchanged cooldown and hourly-cap fixtures passed with durable audits
2026-09-21T08:00:26Z	security	Added streamed exact-canary and known-pattern scans that never return matched values	Release evidence needs a repeatable repository data prompt and artifact leak check rather than manual inspection	docs/evidence/2026-09-21-secret-scan.md	binary boundary canary fixture passed; 64-file repository scan found no credentials and skipped no symlinks
2026-09-21T08:05:56Z	recovery	Required lease recovery to survive SIGKILL without cleanup	Close-and-reopen and transaction faults do not prove behavior after actual process death	docs/evidence/2026-09-21-process-kill.md	fresh process respected live lease then recovered stable operation command and message IDs at attempt two
2026-09-21T08:14:58Z	dm	Bound every DM route and durable task to one allowed human	A generic allowed-user check can leak private context when several humans share a workspace profile	docs/evidence/2026-09-21-dm-isolation.md	config router store memory coordinator and schedule boundaries enforce durable DM ownership; live Slack exercise remains
